frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap
15,0.466667,-0.932805,0.908607,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.155,837.911,,654.155,837.911,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,1,0,1,floor,,floor,left_foot,0.933583,6.666112,654.155,837.911,617.000,842.000,0.090029,0.090029,6.808735,6.718706,4.305723,6.718706,0.142623
16,0.500000,-0.932732,0.908427,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.179,837.852,,654.179,837.852,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.931915,6.674203,654.179,837.852,617.000,842.000,0.076517,0.076517,6.795223,6.718706,4.315924,6.718706,0.121020
17,0.533333,-0.932408,0.908540,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.285,837.889,,654.285,837.889,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.929947,6.682101,654.285,837.889,617.000,842.000,0.081970,0.081970,6.800676,6.718706,4.317028,6.718706,0.118575
18,0.566667,-0.932219,0.908579,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.347,837.902,,654.347,837.902,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.927154,6.680662,654.347,837.902,617.000,842.000,0.094602,0.094602,6.813308,6.718706,4.313677,6.718706,0.132646
19,0.600000,-0.932381,0.908595,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.294,837.907,,654.294,837.907,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.927437,6.687319,654.294,837.907,618.000,847.000,0.294268,0.294268,7.012974,6.718706,4.304266,6.718706,0.325654
20,0.633333,-0.931926,0.908579,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.443,837.902,,654.443,837.902,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.928537,6.690660,654.443,837.902,617.000,842.000,0.101772,0.101772,6.820478,6.718706,4.298377,6.718706,0.129817
21,0.666667,-0.932125,0.908207,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.378,837.780,,654.378,837.780,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.929186,6.698761,654.378,837.780,617.000,843.000,0.257731,0.257731,6.976437,6.718706,4.298538,6.718706,0.277676
22,0.700000,-0.932451,0.907924,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.271,837.687,,654.271,837.687,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.929368,6.703583,654.271,837.687,618.000,843.000,0.028804,0.028804,6.747510,6.718706,4.297718,6.718706,0.043927
23,0.733333,-0.932494,0.908015,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.257,837.717,,654.257,837.717,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.930446,6.701982,654.257,837.717,618.000,844.000,0.042575,0.042575,6.761281,6.718706,4.286685,6.718706,0.059298
24,0.766667,-0.932594,0.907756,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.224,837.632,,654.224,837.632,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.930138,6.695570,654.224,837.632,617.000,842.000,0.129988,0.129988,6.848694,6.718706,4.270646,6.718706,0.153123
25,0.800000,-0.932646,0.907866,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.207,837.668,,654.207,837.668,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.929435,6.694598,654.207,837.668,617.000,843.000,0.299789,0.299789,7.018495,6.718706,4.264421,6.718706,0.323897
26,0.833333,-0.932878,0.907921,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.131,837.686,,654.131,837.686,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.928665,6.692117,654.131,837.686,617.000,842.000,0.093246,0.093246,6.811952,6.718706,4.263858,6.718706,0.119835
27,0.866667,-0.933247,0.907756,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.010,837.632,,654.010,837.632,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.928655,6.683447,654.010,837.632,617.000,842.000,0.067860,0.067860,6.786566,6.718706,4.266001,6.718706,0.103118
28,0.900000,-0.933476,0.907875,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.935,837.671,,653.935,837.671,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.928815,6.676996,653.935,837.671,617.000,842.000,0.107331,0.107331,6.826037,6.718706,4.258125,6.718706,0.149041
29,0.933333,-0.933275,0.907677,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.001,837.606,,654.001,837.606,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.929168,6.678268,654.001,837.606,617.000,842.000,0.098975,0.098975,6.817681,6.718706,4.249260,6.718706,0.139413
30,0.966667,-0.933601,0.907866,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.894,837.668,,653.894,837.668,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.932065,6.666778,653.894,837.668,617.000,842.000,0.108579,0.108579,6.827285,6.718706,4.248462,6.718706,0.160507
31,1.000000,-0.933531,0.908024,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.917,837.720,,653.917,837.720,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.936827,6.658965,653.917,837.720,617.000,842.000,0.129213,0.129213,6.847919,6.718706,4.253927,6.718706,0.188954
32,1.033333,-0.933299,0.908079,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.993,837.738,,653.993,837.738,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.941768,6.666178,653.993,837.738,618.000,850.000,0.131726,0.131726,6.850432,6.718706,4.255229,6.718706,0.184254
33,1.066667,-0.936328,0.908878,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.000,838.000,,653.000,838.000,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.944392,6.674597,653.000,838.000,617.000,843.000,0.148562,0.148562,6.867268,6.718706,4.259661,6.718706,0.192670
34,1.100000,-0.937218,0.910784,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,652.708,838.625,,652.708,838.625,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.943467,6.675766,652.708,838.625,617.000,843.000,0.143099,0.143099,6.861805,6.718706,4.261420,6.718706,0.186038
35,1.133333,-0.936742,0.911160,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,652.864,838.748,,652.864,838.748,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.940259,6.681797,652.864,838.748,617.000,843.000,0.133222,0.133222,6.851928,6.718706,4.267103,6.718706,0.170131
36,1.166667,-0.936523,0.910235,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,652.936,838.445,,652.936,838.445,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.935537,6.680017,652.936,838.445,617.000,843.000,0.092147,0.092147,6.810853,6.718706,4.267674,6.718706,0.130836
37,1.200000,-0.936068,0.909744,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.085,838.284,,653.085,838.284,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.931583,6.676761,653.085,838.284,618.000,844.000,0.041779,0.041779,6.760485,6.718706,4.258700,6.718706,0.083724
38,1.233333,-0.935864,0.909930,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.152,838.345,,653.152,838.345,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.930020,6.669746,653.152,838.345,618.000,844.000,0.098543,0.098543,6.817249,6.718706,4.252335,6.718706,0.147503
39,1.266667,-0.933845,0.909400,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.814,838.171,,653.814,838.171,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.928937,6.659429,653.814,838.171,618.000,847.000,0.027629,0.027629,6.746335,6.718706,4.241258,6.718706,0.086906
40,1.300000,-0.934861,0.909452,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.481,838.188,,653.481,838.188,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.930002,6.648218,653.481,838.188,616.000,845.000,0.017574,0.017574,6.736280,6.718706,4.225580,6.718706,0.088062
41,1.333333,-0.934897,0.909452,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.469,838.188,,653.469,838.188,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.931678,6.635000,653.469,838.188,618.000,843.000,0.021087,0.021087,6.739793,6.718706,4.210268,6.718706,0.104793
42,1.366667,-0.934662,0.909372,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.546,838.162,,653.546,838.162,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.935024,6.634801,653.546,838.162,618.000,846.000,0.015268,0.015268,6.733974,6.718706,4.191027,6.718706,0.099173
43,1.400000,-0.934180,0.909183,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.704,838.100,,653.704,838.100,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,1,0,1,floor,,floor,left_foot,0.941473,6.633226,653.704,838.100,619.000,854.000,-0.006599,-0.006599,6.712107,6.718706,4.185947,6.718706,0.078881
44,1.433333,-0.933991,0.909180,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.766,838.099,,653.766,838.099,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.948225,6.646417,653.766,838.099,619.000,854.000,-0.000058,-0.000058,6.718648,6.718706,4.175387,6.718706,0.072231
45,1.466667,-0.934092,0.909613,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.733,838.241,,653.733,838.241,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.954336,6.645915,653.733,838.241,619.000,854.000,0.000693,0.000693,6.719399,6.718706,4.147444,6.718706,0.073484
46,1.500000,-0.933735,0.909354,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.850,838.156,,653.850,838.156,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.959647,6.659759,653.850,838.156,619.000,854.000,0.017407,0.017407,6.736113,6.718706,4.126737,6.718706,0.076354
47,1.533333,-0.934049,0.909320,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.747,838.145,,653.747,838.145,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.964267,6.652146,653.747,838.145,619.000,854.000,-0.021845,-0.021845,6.696861,6.718706,4.124996,6.718706,0.044714
48,1.566667,-0.933381,0.909284,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.966,838.133,,653.966,838.133,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.968780,6.629023,653.966,838.133,619.000,854.000,-0.043465,-0.043465,6.675241,6.718706,4.102737,6.718706,0.046218
49,1.600000,-0.933393,0.909205,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.962,838.107,,653.962,838.107,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.969056,6.647145,653.962,838.107,620.000,854.000,0.000840,0.000840,6.719546,6.718706,4.240897,6.718706,0.072400
50,1.633333,-0.932927,0.908991,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.115,838.037,,654.115,838.037,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,1,1,foot,left,left_foot,left_foot,0.972070,6.657468,654.115,838.037,619.000,854.000,0.057731,0.057731,6.776437,6.718706,4.371699,6.718706,0.118969
51,1.666667,-0.933686,0.909311,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.866,838.142,,653.866,838.142,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,1,0,1,0,1,0,foot,left,left_foot,left_foot,0.970985,6.684716,653.866,838.142,620.000,854.000,-0.033990,-0.033990,6.684716,6.718706,4.650884,6.718706,0.000000
52,1.700000,-0.844241,0.754165,6.706854,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,682.704,787.710,,682.704,787.710,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,1,0,foot,right,right_foot,right_foot,0.910504,6.355902,682.704,787.710,660.000,813.000,1.512038,0.000000,6.706854,6.707537,4.769032,6.707537,0.350952
53,1.733333,-0.843974,0.753552,6.695051,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,682.303,787.945,,682.303,787.945,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,1,0,foot,right,right_foot,right_foot,0.866439,6.322678,682.303,787.945,662.000,813.000,0.833151,0.833151,7.528202,6.696368,4.916159,6.696368,1.205525
54,1.766667,-0.786355,0.518867,6.683362,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,700.809,711.024,,700.809,711.024,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,right,right_foot,right_foot,0.796227,6.280542,700.809,711.024,693.000,746.000,4.770869,0.000000,6.683362,6.685199,4.932769,6.685199,0.402820
55,1.800000,-0.753015,0.276127,6.671873,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,711.371,631.171,,711.371,631.171,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,right,right_foot,right_foot,0.745731,6.272756,711.371,631.171,717.000,673.000,30.919140,0.000000,6.671873,6.674030,5.142145,6.674030,0.399118
56,1.833333,-0.735507,0.111295,6.660144,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,716.724,576.812,,716.724,576.812,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,right,right_foot,right_foot,0.729819,6.284856,716.724,576.812,709.000,622.000,0.107748,0.107748,6.767892,6.662861,5.196296,6.662861,0.483036
57,1.866667,-0.709540,-0.048784,6.648539,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,724.903,523.836,,724.903,523.836,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,right,right_foot,right_foot,0.742139,6.307447,724.903,523.836,723.000,572.000,-0.936571,-0.936571,5.711968,6.651693,5.241144,6.651693,-0.595479
58,1.900000,-0.685570,-0.201452,6.637140,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,732.455,473.137,,732.455,473.137,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,right,right_foot,right_foot,0.768792,6.316226,732.455,473.137,716.000,518.000,-0.139657,-0.139657,6.497483,6.640524,5.152971,6.640524,0.181256
59,1.933333,-0.680138,-0.205115,6.626133,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,733.883,471.808,,733.883,471.808,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,right,right_foot,right_foot,0.799449,6.338621,733.883,471.808,717.000,517.000,-0.213584,-0.213584,6.412549,6.629355,5.291591,6.629355,0.073928
60,1.966667,-0.670304,-0.335822,6.614957,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,736.776,428.165,,736.776,428.165,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,right,right_foot,right_foot,0.844302,6.370371,736.776,428.165,720.000,475.000,30.348254,0.000000,6.614957,6.618186,5.391374,6.618186,0.244586
61,2.000000,-0.659976,-0.445960,6.604035,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,739.852,391.241,,739.852,391.241,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,right,right_foot,right_foot,0.880494,6.400135,739.852,391.241,722.000,440.000,30.329569,0.000000,6.604035,6.607017,5.605438,6.607017,0.203900
62,2.033333,-0.660969,-0.546301,6.593132,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,739.156,357.469,,739.156,357.469,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,right,right_foot,right_foot,0.908206,6.438030,739.156,357.469,728.000,409.000,30.137806,0.000000,6.593132,6.595848,5.631963,6.595848,0.155102
63,2.066667,-0.655094,-0.622593,6.582391,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,740.762,331.639,,740.762,331.639,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.965732,6.783067,740.762,331.639,725.000,380.000,0.093261,0.093261,6.675652,6.584680,5.592830,6.584680,-0.107415
64,2.100000,-0.654420,-0.623118,6.572086,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,740.644,331.136,,740.644,331.136,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.965012,6.784360,740.644,331.136,726.000,380.000,0.083061,0.083061,6.655147,6.573511,5.589832,6.573511,-0.129214
65,2.133333,-0.658251,-0.649315,6.561384,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,739.000,322.000,,739.000,322.000,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.965478,6.766666,739.000,322.000,727.000,359.000,30.078560,0.000000,6.561384,6.562342,5.584080,6.562342,-0.205282
66,2.166667,-0.649974,-0.711317,6.550307,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,741.410,300.780,,741.410,300.780,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.965444,6.758062,741.410,300.780,731.000,343.000,30.118991,0.000000,6.550307,6.551173,5.573261,6.551173,-0.207755
67,2.200000,-0.644534,-0.742815,6.539343,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,742.876,289.768,,742.876,289.768,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.966904,6.746090,742.876,289.768,733.000,334.000,-0.094519,-0.094519,6.444824,6.540004,5.555459,6.540004,-0.301267
68,2.233333,-0.642349,-0.740106,6.528509,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,743.253,290.267,,743.253,290.267,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.966239,6.736064,743.253,290.267,731.000,334.000,-0.021926,-0.021926,6.506583,6.528835,5.548757,6.528835,-0.229481
